Invoice,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,__sheet_name,IsCancellation,Invoice_str,Revenue,InvoiceMonth,InvoiceYear,Category
489660,35956,lost,-1043,2009-12-01 17:43:00,0.0,,United Kingdom,Year 2009-2010,True,489660,-0.0,2009-12-01,2009,Uncategorised — needs review
489663,35605A,damages,-117,2009-12-01 18:02:00,0.0,,United Kingdom,Year 2009-2010,True,489663,-0.0,2009-12-01,2009,Damaged Stock
490130,21493,lost?,-600,2009-12-03 18:28:00,0.0,,United Kingdom,Year 2009-2010,True,490130,-0.0,2009-12-01,2009,Other
490765,21450,damaged,-31,2009-12-08 10:59:00,0.0,,United Kingdom,Year 2009-2010,True,490765,-0.0,2009-12-01,2009,Damaged Stock
490766,51008,wet,-200,2009-12-08 11:06:00,0.0,,United Kingdom,Year 2009-2010,True,490766,-0.0,2009-12-01,2009,Other
491732,79030A,smashed,-350,2009-12-14 10:00:00,0.0,,United Kingdom,Year 2009-2010,True,491732,-0.0,2009-12-01,2009,Other
492787,85112,damaged,-38,2009-12-18 17:45:00,0.0,,United Kingdom,Year 2009-2010,True,492787,-0.0,2009-12-01,2009,Damaged Stock
492790,37503,damaged,-19,2009-12-18 17:46:00,0.0,,United Kingdom,Year 2009-2010,True,492790,-0.0,2009-12-01,2009,Damaged Stock
C495502,47367B,pair padded hangers pink check,-1,2010-01-25 12:35:00,3.75,12644.0,Germany,Year 2009-2010,True,C495502,-3.75,2010-01-01,2010,Other
C495737,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:23:00,10.5,16154.0,United Kingdom,Year 2009-2010,True,C495737,-10.5,2010-01-01,2010,Other
C495740,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:24:00,14.0,13054.0,United Kingdom,Year 2009-2010,True,C495740,-14.0,2010-01-01,2010,Other
C495738,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:24:00,26.25,12454.0,Spain,Year 2009-2010,True,C495738,-26.25,2010-01-01,2010,Other
C495739,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:24:00,10.5,15383.0,United Kingdom,Year 2009-2010,True,C495739,-10.5,2010-01-01,2010,Other
C495744,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:25:00,91.89,12706.0,Finland,Year 2009-2010,True,C495744,-91.89,2010-01-01,2010,Other
C495741,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:25:00,13.14,16840.0,United Kingdom,Year 2009-2010,True,C495741,-13.14,2010-01-01,2010,Other
C495743,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:25:00,18.38,12382.0,Netherlands,Year 2009-2010,True,C495743,-18.38,2010-01-01,2010,Other
C495751,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:28:00,26.19,12858.0,United Kingdom,Year 2009-2010,True,C495751,-26.19,2010-01-01,2010,Other
C495757,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:30:00,10.49,16575.0,United Kingdom,Year 2009-2010,True,C495757,-10.49,2010-01-01,2010,Other
C495759,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:31:00,15.75,12647.0,Germany,Year 2009-2010,True,C495759,-15.75,2010-01-01,2010,Other
C495761,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:31:00,13.14,13664.0,United Kingdom,Year 2009-2010,True,C495761,-13.14,2010-01-01,2010,Other
C495762,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:32:00,125.78,14285.0,United Kingdom,Year 2009-2010,True,C495762,-125.78,2010-01-01,2010,Other
C495764,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:35:00,13.13,12792.0,Portugal,Year 2009-2010,True,C495764,-13.13,2010-01-01,2010,Other
C495767,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:39:00,50.76,12696.0,Finland,Year 2009-2010,True,C495767,-50.76,2010-01-01,2010,Other
C495769,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:47:00,18.38,17130.0,United Kingdom,Year 2009-2010,True,C495769,-18.38,2010-01-01,2010,Other
C495770,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:49:00,36.75,15357.0,Unspecified,Year 2009-2010,True,C495770,-36.75,2010-01-01,2010,Other
C495771,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:51:00,13.12,13776.0,United Kingdom,Year 2009-2010,True,C495771,-13.12,2010-01-01,2010,Other
C495772,ADJUST,adjustment by john on 26/01/2010 16,-1,2010-01-26 16:55:00,22.95,12600.0,Germany,Year 2009-2010,True,C495772,-22.95,2010-01-01,2010,Other
C495778,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:07:00,10.51,15266.0,United Kingdom,Year 2009-2010,True,C495778,-10.51,2010-01-01,2010,Other
C495779,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:08:00,15.74,16168.0,United Kingdom,Year 2009-2010,True,C495779,-15.74,2010-01-01,2010,Other
C495785,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:12:00,23.63,13468.0,United Kingdom,Year 2009-2010,True,C495785,-23.63,2010-01-01,2010,Other
C495789,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:17:00,503.19,,United Kingdom,Year 2009-2010,True,C495789,-503.19,2010-01-01,2010,Other
